fig_num,name,inventory_id,set_num,set_name,year,parent_id,parent_theme,theme_id,theme
fig-000001,Toy Store Employee,42484,31105-1,Townhouse Toy Store,2020,22,Creator,672,Creator 3-in-1
fig-000002,Customer Kid,42484,31105-1,Townhouse Toy Store,2020,22,Creator,672,Creator 3-in-1
fig-000003,"Assassin Droid, White",15042,10188-1,Death Star,2008,158,Star Wars,171,Ultimate Collector Series
fig-000003,"Assassin Droid, White",126421,10188-1,Death Star,2008,158,Star Wars,171,Ultimate Collector Series
fig-000004,"Man, White Torso, Black Legs, Brown Hair",1619,1661-2,Basic Building Set in Bucket,1989,465,Universal Building Set,467,Basic
fig-000004,"Man, White Torso, Black Legs, Brown Hair",2201,1638-1,Blue Bucket,1990,465,Universal Building Set,467,Basic
fig-000004,"Man, White Torso, Black Legs, Brown Hair",2694,1520-1,Basic Set with Storage Case,1985,465,Universal Building Set,467,Basic
fig-000004,"Man, White Torso, Black Legs, Brown Hair",3746,7745-1,High-Speed City Express Passenger Train,1985,233,Train,234,12V
fig-000004,"Man, White Torso, Black Legs, Brown Hair",4909,120438-1,Basic Building Set,1985,465,Universal Building Set,467,Basic
fig-000004,"Man, White Torso, Black Legs, Brown Hair",8905,550-1,Basic Building Set,1985,465,Universal Building Set,467,Basic
fig-000004,"Man, White Torso, Black Legs, Brown Hair",11096,1575-2,Basic Set with Board Game,1987,465,Universal Building Set,467,Basic
fig-000004,"Man, White Torso, Black Legs, Brown Hair",12186,1963-1,Basic Set with Storage Case,1986,465,Universal Building Set,467,Basic
fig-000004,"Man, White Torso, Black Legs, Brown Hair",13344,1962-1,Basic Building Set,1985,465,Universal Building Set,467,Basic
fig-000004,"Man, White Torso, Black Legs, Brown Hair",110384,1615-1,Basic Set,1987,465,Universal Building Set,467,Basic
fig-000005,Captain America with Short Legs,10047,76065-1,Mighty Micros: Captain America vs. Red Skull,2016,696,Super Heroes Marvel,696,Super Heroes Marvel
fig-000006,Lloyd Avatar,42501,71716-1,Lloyd Avatar - Arcade Pod,2020,435,Ninjago,435,Ninjago
fig-000007,Lloyd / Digi Lloyd - Katana Holders,42474,71709-1,Jay and Lloyd's Velocity Racers,2020,435,Ninjago,435,Ninjago
fig-000007,Lloyd / Digi Lloyd - Katana Holders,42477,71712-1,Empire Temple of Madness,2020,435,Ninjago,435,Ninjago
fig-000007,Lloyd / Digi Lloyd - Katana Holders,42501,71716-1,Lloyd Avatar - Arcade Pod,2020,435,Ninjago,435,Ninjago
fig-000007,Lloyd / Digi Lloyd - Katana Holders,42793,71713-1,Empire Dragon,2020,435,Ninjago,435,Ninjago
fig-000008,Wonder Woman,4138,76026-1,Gorilla Grodd Goes Bananas,2015,695,Super Heroes DC,700,Justice League
fig-000009,The Flash,2182,76012-1,Batman: The Riddler Chase,2014,695,Super Heroes DC,697,Batman
fig-000009,The Flash,4138,76026-1,Gorilla Grodd Goes Bananas,2015,695,Super Heroes DC,700,Justice League
fig-000010,"Batman, Dark Bluish Gray Suit, Black Cape and Cowl, Black Head, Dark Bluish Gray Legs, Small Batman Logo",4138,76026-1,Gorilla Grodd Goes Bananas,2015,695,Super Heroes DC,700,Justice League
fig-000010,"Batman, Dark Bluish Gray Suit, Black Cape and Cowl, Black Head, Dark Bluish Gray Legs, Small Batman Logo",10038,76055-1,Batman: Killer Croc Sewer Smash,2016,695,Super Heroes DC,697,Batman
fig-000010,"Batman, Dark Bluish Gray Suit, Black Cape and Cowl, Black Head, Dark Bluish Gray Legs, Small Batman Logo",12526,76034-1,Batboat Harbor Pursuit,2015,695,Super Heroes DC,697,Batman
fig-000010,"Batman, Dark Bluish Gray Suit, Black Cape and Cowl, Black Head, Dark Bluish Gray Legs, Small Batman Logo",12663,76053-1,Batman: Gotham City Cycle Chase,2016,695,Super Heroes DC,697,Batman
fig-000010,"Batman, Dark Bluish Gray Suit, Black Cape and Cowl, Black Head, Dark Bluish Gray Legs, Small Batman Logo",27954,80791214-1,DC Comics Super Heroes: Enter The Dark Knight,2016,497,Books,497,Books
fig-000011,Captain Cold,4138,76026-1,Gorilla Grodd Goes Bananas,2015,695,Super Heroes DC,700,Justice League
fig-000012,Truck Driver,4138,76026-1,Gorilla Grodd Goes Bananas,2015,695,Super Heroes DC,700,Justice League
fig-000013,Gorilla Grodd,4138,76026-1,Gorilla Grodd Goes Bananas,2015,695,Super Heroes DC,700,Justice League
fig-000014,"Batgirl, Dark Purple Suit, Wings",3352,41230-1,Batgirl Batjet Chase,2017,617,DC Super Hero Girls,617,DC Super Hero Girls
fig-000014,"Batgirl, Dark Purple Suit, Wings",27208,COMCON052-1,Batgirl,2016,617,DC Super Hero Girls,617,DC Super Hero Girls
fig-000015,Sir Fangar,3341,70147-1,Sir Fangar’s Ice Fortress,2014,571,Legends of Chima,571,Legends of Chima
fig-000015,Sir Fangar,15389,70224-1,Tiger's Mobile Command,2015,571,Legends of Chima,571,Legends of Chima
fig-000015,Sir Fangar,16257,70143-1,Sir Fangar's Sabre-Tooth Walker,2014,571,Legends of Chima,571,Legends of Chima
fig-000015,Sir Fangar,42856,BIGBOX-1,The Ultimate Battle for Chima,2015,571,Legends of Chima,571,Legends of Chima
